nom adhérent;icon;catégorie;adresse;latitude;longitude;téléphone;site web;activité;texte;mots clés;
TAS France;TV/pme/TAS-France.jpg;TPE-PME;"1300 Route des Crêtes – WTC – 1 
06560 SOPHIA ANTIPOLIS";43.627844 ;7.039533;08 25 56 34 00;www.tasfrance.com;;"TAS France est la filiale française de TAS Group, éditeur de logiciels Italien leader en Europe dans le domaine des flux monétaires sécurisés. En France, TAS Group est principalement présent au travers de son Datacenter de Sophia Antipolis. Ses solutions d'hébergement, d'infogérance et de Cloud Computing
s'adressent principalement aux entreprises et organisations de taille intermédiaire";Hébergement, Cloud Computing, Services Managés, Ingénierie de Projets, Datacenter;
TEACH ON MARS;TV/pme/teachonmars.png;TPE-PME;"1047 route des Dolines 
06560 SOPHIA ANTIPOLIS";43.627082 ;7.0409;;www.teachonmars.com;Teach on Mars édite des applications mobiles pour la formation et l'éducation. Nous travaillons avec les plus grandes marques et les meilleurs auteurs pour vous offrir un moyen motivant et efficace de progresser dans votre vie quotidienne : loisirs, passions, vie pratique, culture générale, développement personnel, langues, informatique, parascolaire, formation professionnelle …;Notre mission : Inventer une nouvelle manière d'apprendre en mouvement;Mobile learning, plateforme;
TOPLINK INNOVATION;TV/pme/toplink_innovation.gif;TPE-PME;"837 bis Allée de Paris 
83500 LA SEYNE SUR MER";43.11057 ;5.850128;04 94 10 72 57;www.toplink-innovation.fr;;Conseil en développement stratégique d'entreprise, management de l'innovation, valorisation industrielle.;Développement stratégique, Management de l'innovation, Valorisation des résultats;
TRAXXS;TV/pme/TRAXxs.png;TPE-PME;"Business Pôle 1047 route des Dolines
Allée Pierre Ziller
06560 SOPHIA ANTIPOLIS";43.627082;7.0409;04 89 70 40 19;www.traxxs.net/fr;"Incubé ESA BIC, travaillant en collaboration avec différents académiques et industriels clés nous développons des systèmes de géolocalisation ultra low-power intégrés. Les ‘XSOLE', sont des semelles de confort amovibles qui transforment tout type de chaussures en système de suivi temps réel. Exploitant les données (dont vous restez propriétaires) nous proposons une large gamme de services pour l'industrie de la chaussure. Les applications proposées visent le grand public et les professionnels du sport, de la santé et la sécurité / sûreté.
Nous développons des antennes passives dédiées et une architecture microélectronique exclusive. Les semelles XSOLE intègrent des capteurs MEMS, des technologies de géolocalisation GPS/GNSS, de télécommunication GSM/GPRS… et un algorithme de pilotage de consommation. La conception de la semelle respecte le confort et permet de s'adapter à la plupart des chaussures, qu'il s'agisse d'enfants ou d'adultes.";Basée dans le Sud de la France, TRAXxs est une Jeune Entreprise Innovante qui combine technologie et chaussure;Geolocation, IoT, Wearable technology;
TYDIG;;TPE-PME;"1 rue Emma et Philippe Tiranty 
06000 NICE";43.70342 ;7.268744;;www.tydig.xyz;"Digitale (et numérique) au sens conseil, assistance et mise en œuvre de solutions de gestion d'entreprise orientées nouveaux usages et liées à la Data Intelligence, le Pilotage de la Performance, la Gouvernance de la Donnée et la Transformation Digitale$

Agilité au sens mise en œuvre des projets mais aussi au service de l'innovation et réussites collectives et durables (rapport Client/Fournisseur/Collaborateur  Gagnant Gagnant)";TYDIG est une société dans la gamme des ESN spécialisée “Agilité Digitale”.;Agilité Digitale;
URAEUS CONSULT;TV/pme/uraeus-consult.png;TPE-PME;"2000 route des Lucioles
 Les Algorithmes Aristote A 
06901 SOPHIA ANTIPOLIS CEDEX";43.61615 ;7.066475;04 93 95 52 10;www.uraeus-consult.com;;Ingénierie et Sécurité de l'Information;Ingéniérie, Sécurité, Business Intelligence;
VALIANCE;TV/pme/valiance.jpg;TPE-PME;"80 route des Lucioles
Les Espaces de Sophia M1 
06560 SOPHIA ANTIPOLIS";43.613576 ;7.047554; 04 92 38 82 98;www.vinclia.com;"Vincilia créée en 2007 a investi sur fonds propres en R&D depuis 2008 pour présenter sur le marché du “Progiciel de gestion intégré” (PGI ou ERP “Entreprise Resource planning”) une solution mature en mode SaaS (Software as a Service) : Vincilia Business Management. Un ERP hébergé dans le Cloud, vendu à quelques Entreprises pilotes régionales dès 2010. Puis, à une dizaine d'Entreprises en solution complète et tarifée depuis fin 2013 pour des modules CRM, BI, GED, ERP, GMAO, GPAO.
Le développement du produit s'est réalisé sur les fondements stratégiques du marché des TPE-PMEPMI (comme les grands mais beaucoup plus : 1 – simple, 2 – rapide, 3 – économique, 4 – ouvert, 5 – adaptable, 6 – rentable à court terme) et se devait d'aboutir à une solution “Web” livrable et mise en ligne avant d'engager Vincilia dans un plan de plus forte croissance commerciale.
Le financement de la R&D de Vincilia s'est opéré majoritairement par les apports du fondateur et l'aide à l'innovation du CIR (crédit d'impôt recherche) dont Vincilia est éligible. Vincilia bénéficie également du label JEI (Jeune Entreprise Innovante) depuis 2009.
Sortie depuis peu du mode “labo R&D”, le développement commercial de Vincilia est aujourd'hui lancé selon un plan stratégique en cours d'accompagnement par le réseau Entreprendre 06. Le prévisionnel porte sur plusieurs dizaines d'emplois de profil TIC.
Vincilia Business Management illustre la volonté du tout numérique par le système d'information qu'elle propose, lequel s'intègre à chaque niveau de l'entreprise.";Vincilia créée en 2007 a investi sur fonds propres en R&D depuis 2008 pour présenter sur le marché du “Progiciel de gestion intégré” (PGI ou ERP “Entreprise Resource planning”) une solution mature en mode SaaS (Software as a Service) : Vincilia Business Management.;Porgiciel de gestion;
VALIANCE BUSINESS MANAGEMENT;TV/pme/valiance.jpg;TPE-PME;"80 route des Lucioles
Les Espaces de Sophia M1 
06560 SOPHIA ANTIPOLIS";43.613576 ;7.047554;04 92 38 82 98;www.valiance-bm.com;;La plateforme « Web Apps » de gestion qui prodigue un réel apport en méthode et en organisation sans compétence informatique;Business Management, Logiciels;
VANKORE;TV/pme/Vankore.jpg;TPE-PME;"25 chemin Jean Bagnis 
06200 NICE";43.730622 ;7.216064;; www.vankore.com;;Développement, investissement et accompagnement dans les projets d'édition de logiciels et de plateformes en cloud pour ces domaines : sécurité, objets connectés et business intelligence;Services numériques clés, Cloud, Business Intelligence, IoT;
VIANEO;TV/pme/Vianeo.png;TPE-PME;"Ophira 1 -1 Place Bermond 
06560 SOPHIA ANTIPOLIS";43.621588 ;7.039972;04 92 95 45 06;www.vianeo.io;"Inventer est le propre de l'homme. Ne pas se résigner aux contraintes environnementales, repousser les limites, tendre vers l'impossible, l'invention est inscrite dans l'ADN de l'humanité, éternellement adolescente, bouillonnante, fragile mais pleine de promesses, de possibles.
Dans le foisonnement d'inventions actuellement porté à une échelle inédite, comment identifier les “pépites” ? Comment les amener jusqu'à leur marché ? Comment leur donner de la pérennité et de la valeur ? Autant de questions fondamentales que se posent les porteurs de projets, les directions de l'innovation et les organismes dédiés à la valorisation.
Si, pour répondre à ces enjeux, on dispose des fruits de la réflexion de grands théoriciens de l'innovation ou, sur l'axe opposé, d'outils de modélisation et de simplification extrême, cela ne rend pas compte d'une réalité :

•  La nécessité d'être pragmatique, d'accéder le plus rapidement possible au marché ou d'opter pour un “NoGo” et une réorientation rapide des ressources.

•  L'aspect dynamique d'un écosystème d'innovation, ensemble complexe de relations, d'interdépendances et de décisions, dans lequel l'incertitude et l'irrationnel ont une large part.
Pour nous, l'innovation ne se réduit pas à un Business Model, à la production d'un Business Plan. Aussi important soit-il, un business model reste une intention plus qu'une action et ne garantit pas la rencontre avec le marché.
Pour nous, l'innovation est un processus d'innovation continue, qui place l'humain au centre de la démarche, soutenue par des experts, des méthodes et des outils.
C'est la raison pour laquelle nous avons élaboré et implémenté avec succès une approche globale intégrant :

La formation à l'innovation
Le conseil en stratégie
La suite logicielle collaborative ViaDesigner®
La certification à nos méthodes afin de garantir la qualification et le respect des standards des consultants Vianeo.

VIANEO APPORTE UNE GRILLE DE LECTURE ET DE SÉLECTION AINSI QU'UN ACCOMPAGNEMENT AUX PORTEURS DE PROJETS INNOVANTS";Vianeo aide les entreprises et porteurs de projets innovants à définir leur stratégie d'accès au marché et identifier leurs leviers de création de valeur.;Viabilité, faisabilité, désirabilité, acceptabilité, domaine d'application, légitimité;
VULOG;TV/pme/Vulog.jpg;TPE-PME;"The Crown Avenue Simone Veil 
06200 Nice";43.680445 ;7.204084;04 93 52 15 77;www.vulog.com;"VULOG, fleuron de la FrenchTech fondée en 2006 par les ingénieurs INRIA Georges Gallais et David Emsellem, propose des solutions logicielles et matérielles clés en main permettant de lancer des services d'autopartage public ou en entreprise, traditionnels ou de nouvelle génération.
Précurseur sur la nouvelle génération d'autopartage, VULOG a acquis une reconnaissance internationale et fournit aujourd'hui sa solution en Europe et Amérique du Nord. VULOG, dont le siège est situé à Nice au CEEI, a des bureaux à Paris et Vancouver. Parmi les partenaires qui font confiance à VULOG : Transdev, TF1, PSA, Sixt, BCAA, la Mairie de Paris, Communauto, etc..";Technologies d'autopartage (boucle, freefloating).;Autopartage;
WAYNOTE;TV/pme/waynote.png;TPE-PME;"Business Pôle - 1047 Route des Dolines
Allée Pierre Ziller
06560 VALBONNE";43.627082;7.0409;;www.waynote.fr;;Waynote est le navigateur culturel de l'autoroute, qui transforme un trajet contraint en parcours de découverte des régions traversées. C'est une application mobile qui adresse au voyageur des informations culturelles, économiques et touristiques, géolocalisées, en temps réel et en audio, sur les points d'intérêts vus ou situés à proximité.;Application mobile, géolocalisation;
WEBELSE;TV/pme/webelse.png;TPE-PME;"Premium
1 Boulevard Maître Maurice Slama
06200 NICE";;;09 68 35 38 64;www.webelse.fr;Créée en 2007, WEBELSE a développé de nombreux sites spécialisés dans le tourisme, la culture, les loisirs et l'e-commerce. WEBELSE gère aujourd'hui, le site www.gralon.net, un annuaire touristique, culturel et professionnel de qualité s'adressant à un public francophone de plus de 3 millions de visiteurs mensuels. Chaque jour, plus de 100 000 socio-professionnels bénéficient de la notoriété de Gralon pour acquérir des clients supplémentaires.;WEBELSE est une société spécialisée dans la Création, la Diffusion et le Référencement de contenus à forte valeur ajoutée ( textes, photos et vidéos ) sur tous supports numériques : ordinateurs, mobiles, tablettes et objets connectés.;Création site web, développement, référencement, réalisation photo-vidéos, rédaction Web;
WEVER;TV/pme/wever.png;TPE-PME;"CEEI Immeuble Premium 
1 Boulevard Maurice Slama 
06200 NICE";;;06 76 10 31 53;ww.wever.fr;Wever met en relation, en temps réel, des passagers et des conducteurs partageant les mêmes trajets urbains, rapprochant des personnes autour d'activités et/ou de centres d'intérêts communs en optimisant les inévitables trajets en voiture. Covoiturez, gagnez du temps, économisez de l'argent, rencontrez de nouvelles personnes et agissez en faveur de la préservation de l'environnement.;Un réseau social de covoiturage urbain pour partager ses déplacements.;"Applications, Logiciels, 
Mobilité, Réseau social";
WHOOG;TV/pme/Whoog.png;TPE-PME;"1300 route des Crêtes 
06905 VALBONNE";;;04 89 70 40 18;www.whoog.com;;Une application pour faciliter la gestion des imprévus pour hôpitaux et cliniques;Gestion imprévus, absentéismes;
WILDMOKA;TV/pme/wildmoka.png;TPE-PME;"Business Pôle
Allée Pierre Ziller 
06560 SOPHIA ANTIPOLIS";;;04 89 70 40 13;www.wildmoka.com;"Elle développe des technologies qui réinventent l'expérience utilisateur télévisuelle. La plateforme Cloud WILDMOKA transforme, en temps réel, toute source vidéo en un contenu délinéarisé, enrichi, navigable et social, disponible sur tous les écrans au travers d'applications dédiées innovantes.
WILDMOKA s'adresse aux créateurs et distributeurs de contenus soucieux d'offrir une interaction toujours plus étroite entre contenus audiovisuels et utilisateurs, dans le but d'étendre leur audience et de développer les opportunités de monétisation. Des opérateurs européens et américains de première catégorie utilisent d'ores et déjà les solutions et services de WILDMOKA.
WILDMOKA est la première société à avoir signé un partenariat commercial avec CANALSTART, le programme d'accompagnement du groupe CANAL+ dédié aux talents de l'innovation. Elle est également soutenue par le GROUPE ADVANS.";WILDMOKA est une entreprise pionnière dans l'automatisation, l'enrichissement et la monétisation des contenus audiovisuels;Technologies, multimédias, Audiovisuels, infrastructure vidéo de cloud;
YUZU FRANCE;TV/pme/yuzu.png;TPE-PME;"9 Boulevard de Louvain
Le Prado Louvain 
13008 MARSEILLE";;;09 70 40 82 18;www.yuzu.co;"Avec ses équipes basées à New-York et Marseille, YUZU développe une solution innovante et inédite qui s'appuie sur son expertise Big DATA.
Soutenue par le groupe HighCo et les meilleurs Business Angels, Yuzu bénéfice également du soutient de Bpifrance, et de PACA Emergence.
YUZU est une start-up reconnue au sein de la FrenchTech & est membre du Pôle SCS (investi dans le groupe de travail Big Data), de FrenchFounders et de Telecom Valley.
Vainqueur du trophée Marius dans la catégorie Internationale au Shake Ecommerce 2015.";YUZU est le premier réseau mondial de cross-selling entre e-commerçants pour booster leur rentabilité;e-commerce;
ACEC06;TV/associations/ACEC.jpg;Associations;"11 place Ile de Beauté 
06300 NICE";;;04 93 89 45 65;www.acec06.org;;Aide à la création et reprise d'entreprises.;Formation, Conseil, diagnostic, financement, expertise;
AFQP 06;TV/associations/AFQP06.jpg;Associations;"HandyJob, Avenue Guynemer 
06700 ST LAURENT DU VAR";;;06 71 52 77 04;www.afqp06.org;"Sa mission : Contribuer au renforcement de la compétitivité des entreprises locales en faisant la promotion de la Performance et de l'Excellence.
Telecom Valley est membre croisé avec l'AFQP 06.";Association France Qualité Performance 06;Bénévolat, expertise;
ALUMNICE;TV/associations/allumnice.jpg;Associations;"Campus Universitaire St Jean d'Angely 
24 Avenue des Diables Bleus 
06300 NICE";;;06 98 40 03 04;www.alumnice.com;;;Insertion, développement professionnel;
APEC;TV/associations/Apec.jpg;Associations;"22 Avenue Notre-Dame 
06045 NICE CEDEX";;;04 93 74 01 30;www.apec.Fr;;Recrutement et offres d'emploi cadres, CV, conseils carrière, informations sur le marché de l'emploi, formations, chats emploi et événements de recrutement.;Conseil carrière, emploi, formation;
ARCSIS;TV/associations/ARCSIS.jpg;Associations;"Place Paul Borde 
13790 ROUSSET";;;04 42 53 81 51;www.arcsis.org;"Véritable relais de valorisation des savoir-faire, ARCSIS offre à ses membres l'opportunité de se découvrir, de s'apprécier et de mettre en commun leurs compétences techniques et humaines pour bâtir ensemble les innovations et produits appelés à faciliter notre quotidien d'aujourd'hui et de demain. ARCSIS s'appuie aussi sur un large réseau de partenaires et entretient un lien privilégié avec SAME (Sophia Antipolis MicroElectronics) autour des technologies de conception de circuits électroniques avancés.
ARCSIS participe à l'ancrage durable, à l'essor économique et à l'amélioration de la position concurrentielle de la filière régionale de la microélectronique et des objets communicants à travers plusieurs objectifs et actions :

Favoriser le montage et la mise en oeuvre de projets coopératifs de recherche entre entreprises et laboratoires régionaux
Faciliter l'accès aux programmes de recherche régionaux, nationaux et européens
Anticiper, identifier et accueillir les activités et métiers qui complètent la filière en amont et en aval
Stimuler les relations B to B entre concepteurs et fournisseurs de composants et d'équipements, unités de production et prestataires de services spécialisés
Aider les PME à atteindre une taille critique
Instituer des passerelles avec d'autres réseaux professionnels sectoriels
Structurer et mutualiser des pratiques de veille technologique et d'intelligence économique";Imaginée et créée en 1993, sous le nom de CREMSI, par les acteurs de la filière microélectronique régionale, ARCSIS n'a jamais cessé d'enrichir ses domaines d'intervention pour mieux répondre à l'évolution de leurs besoins. Elle réunit 5 grands groupes, Atmel, Gemplus, Philips, STMicroelectronics, Texas Instruments, plusieurs dizaines de PME ainsi qu'une quinzaine d'écoles, laboratoires de recherche et universités de la région.;Solutions Communicantes Sécurisées;
BA06 ACCOMPAGNEMENT;TV/associations/BA06.png;Associations;"1 boulevard Maitre Maurice Slama 
06200 NICE";;;;www.ba06.com;"BA06 propose plusieurs programmes d'accompagnement/accélération selon les besoins des entreprises innovantes et leur stade de développement.
BA06 organise depuis 2011, un événement annuel: BA06 event, le marché de l'innovation azuréenne.";L'association BA06 Accompagnement a pour objet de contribuer au développement entrepreneurial solidaire du territoire des Alpes Maritimes en accompagnant les créateurs d'entreprises innovantes à fort potentiel de croissance et d'emplois.;Entrepreunariat, Accompagnement;
FONDATION SOPHIA ANTIPOLIS;TV/associations/Fondation-Sophia-Antipolis.jpg;Associations;"Place Sophie Laffitte 
06904 SOPHIA ANTIPOLIS";;;04 92 96 78 00;www.sophia-antipolis.org;;Animation scientifique et culturelle du parc de Sophia Antipolis dans les domaines des sciences, de l'industrie et de la culture;Fondation, Echanges, Réflexions;
IESF COTE D'AZUR;TV/associations/iesf.jpg;Associations;"Polytech Nice Sophia 
06903 SOPHIA ANTIPOLIS CEDEX";;;;www.iesf.fr;La “Communauté URISCA” a été créée le 23 janvier 2009 dans le portail internet ECOBIZ de la Chambre de Commerce et de l'Industrie de Nice Côte d'Azur (CCINCA) : http://www.cote-azur-ecobiz.fr puis à partir de l'onglet “Commmunautés” accéder à la “Communauté URISCA”.;IESF Côte d'Azur est l'antenne azuréenne de l'association des Ingénieurs et Scientifiques de France;Ingénieurs scientifiques;
INCUBATEUR PACA EST;TV/associations/Incubateur-Paca.jpg;Associations;"Business Pôle – Bât B Entrée A 
1047 Route des Dolines
Allée Pierre Ziller 
06560 VALBONNE";43.627082;7.0409;04 89 86 69 10;www.incubateurpacaest.org;"Un incubateur d'entreprises est une structure d'accompagnement de projets de création d'entreprises. L'incubateur peut apporter son soutien en terme de conseil, de financement et d'hébergement lors des premières étapes de la vie de l'entreprise.
A la différence d'une pépinière ou d'un hôtel d'entreprise, un incubateur s'adresse à des projets de création ou à de très jeunes sociétés et leur propose un ensemble de services adaptés.
Les incubateurs peuvent se différencier entre eux par les services qu'ils proposent, leur caractère lucratif ou non, ou encore le type de projets qu'ils accompagnent.";Incubateur d'entreprises innovantes;Incubateur de projets, accompagnement sur mesure;
JCE ASA;TV/associations/JCI.png;Associations;"95 Rue des Ames du Purgatoire 
06600 ANTIBES";43.591851 ;7.101659;06 09 87 51 72;antibessophiaantipolis.jcef.fr;;Jeune Chambre Economique Antibes Sophia Antipolis;Chambre économique, mouvement des jeunes;
MEDINSOFT;TV/associations/Medinsoft.jpg;Associations;"Hôtel technologique Technopole de Chateau-Gombert
13013 MARSEILLE";43.351287 ;5.440263;;www.medinsoft.com;"Avec une force de production de plus de 1 400 personnes, MedInSoft dispose d'une capacité de réalisation permettant de répondre à de grands projets mais surtout d'une puissance d'innovation que seule une fédération de laboratoires de recherche aux compétences les plus diverses peut apporter.
MedInSoft représente un poids économique de plus de 150 millions d'euro de chiffre d'affaires, dont 25% est ré-investi chaque année en recherche et développement. Cette capacité a créer de nouveaux produits, lui permet d'accompagner à moindre coûts des clients sur leurs projets innovants, faisant appel aux technologies les plus modernes de communication et de gestion.
Au sein de MedInSoft, la Commission Logiciel Libre Libertis anime plus particulièrement l'activité des Sociétés ayant fait leurs preuves au sein du modèle libre (éditeurs, intégrateurs, SSLL, hébergeurs…).";MedInSoft c'est plus de 140 éditeurs et sociétés de services du grand sud qui ont décidé de regrouper leurs compétences pour promouvoir leur savoir-faire et mettre en valeur le potentiel régional afin de répondre à des appels d'offres européen;Industrie numérique, e-economie, Business Network;
MOBISMART;TV/associations/MOBISMART.png;Associations;"Pôle Média Belle de Mai
37 Rue Guibal 
13003 MARSEILLE";43.309209 ;5.390095;04 91 68 66 28;www.mobismart.org;;;Smart;
MONACO COTE D'AZUR BUSINESS HUB;TV/associations/MCAH.png;Associations;"74 Boulevard d'Italie 
98000 MONACO";43.750163 ;5.390095;08 10 50 03 01;http://msbh.biz/;;Créé à l'initiative de Yannick QUENTEL et Hervé BARBAT, le Monaco-Sophia Business Hub (MSBH) vise à mettre en relation d'affaires, les grandes entreprises internationales, les PME dynamiques et les entreprises de services numériques (ESN) de la Principauté de Monaco et de Sophia Antipolis. Le Monaco-Sophia Business Hub se positionne ainsi comme un accélérateur de projets et un initiateur de nouvelles connexions entre des entreprises complémentaires, créant ainsi de nouvelles synergies au service du développement du territoire.;Hébergement web, Sécurité Web, Cloud;
POLE SCS;TV/associations/pole_scs.png;Associations;"Place Paul Borde 
13790 ROUSSET";43.480785 ;5.622564;04 92 96 79 60;www.pole-scs.org;"Le Pôle SCS a aujourd'hui une véritable ambition : devenir l'acteur incontournable et reconnu dans le domaine des solutions communicantes sécurisées en couvrant l'ensemble de la chaîne de valeur des métiers des TIC, du Silicium aux Usages :

Microélectronique
Télécommunications
Logiciels
Multimédia

Pour des applications (usages) : Traçabilité, Connectivité, Identité, Mobilité et de manière transversale, la Sécurité Et sur des marchés : Industrie, Santé/bien-être, transport/logistique/distribution, Tourisme, Agriculture/Agroalimentaire, Développement Durable,…";;Microélectronique, Télécommunications, Logiciels, Multimédias;
PRIMI;TV/associations/PRIMI.jpg;Associations;"37 Avenue Guibal 
13003 MARSEILLE";43.309209 ;5.390095;04 91 05 81 04;http://primi.pro;Les adhérents de PRIMI sont majoritairement des entreprises, mais aussi des structures d'enseignement universitaire, de recherche, de formation, des équipements culturels soucieux d'intégrer les nouvelles technologies dans la relation avec les publics, et des organismes de développement économique. PRIMI est labellisé Grappe d'Entreprises par la DATAR et PRIDES par la Région Paca.;PRIMI (acronyme de Pôle Régional Image Multimédia Internet) est un cluster rassemblant les professionnels des filières régionales de l'audiovisuel et du cinéma, de l'animation, du jeu video, de l'Internet et du multimedia.;Industries créatives, création numérique, multimédias;
PROVENCE COTE D'AZUR EVENTS;TV/associations/pcae.jpg;Associations;"16 rue de la république 
13001 MARSEILLE";43.297372 ;5.373565;04 91 87 72 20;www.provencecotedazurevents.com;;Provence Côte d'Azur Events : Pôle d'excellence dédié au tourisme d'affaires au service des événements professionnels du Tourisme;Congrès, Séminaire, ;
SAFE CLUSTER;TV/associations/Safe-cluster.png;Associations;"Domaine du petit Arbois
Bâtiment Henri Poincaré
Avenue Louis Philibert
BP 10028 
13545 AIX-EN-PROVENCE CEDEX 4";43.492526 ;5.340695;04 42 12 30 50;www.safecluster.com;"Né en décembre 2015 du rapprochement des Pôles Pégase et Risques, il réunit une communauté de près de 600 membres composée d'entreprises et d'organismes de recherche et de formation, issus majoritairement des secteurs de la sécurité, de la protection environnementale et de l'industrie aéronautique et spatiale.
A leurs côtés, des compagnies d'assurance, des banques, et surtout des clients (des services de sécurité civile, des villes…) confèrent  à SAFE  Cluster :

l'opportunité de développer de nouveaux modèles économiques au service d'une plus grande compétitivité des entreprises
une chaine de valeur complète associant des offreurs et des intégrateurs de technologies, et surtout les clients actuels et futurs des solutions de sécurité.

Avec près de 7% de croissance annuelle aussi bien en France que dans le monde, la filière de la sécurité présente une opportunité de développement extraordinaire pour les membres de SAFE Cluster. Ils sont aujourd'hui majoritairement implantés en région PACA, une des régions françaises leader du secteur grâce notamment à une forte concentration d'acteurs issus de la sécurité civile et de la Défense.
Pour accompagner le développement des entreprises du réseau, SAFE Cluster leur propose des parcours « réseau », « business » et « croissance » avec des actions allant de l'émergence de projets à la recherche de partenaires technologiques et financiers en passant par le développement à l'international.
*La sécurité globale peut être définie comme la capacité d'assurer à une collectivité donnée et à ses membres, un niveau suffisant de prévention et de protection contre les risques et les menaces de toutes natures et de tous impacts, d'où qu'ils viennent, dans des conditions qui favorisent le développement sans rupture de la vie et des activités collectives et individuelles. (INHES 2003)";SAFE Cluster est le dernier né des pôles de compétitivité et le seul à porter la thématique de la sécurité globale*. Il est le réseau qui regroupe clients et offreurs de solutions de sécurité.;Sécurité globale;
TELECOM PARISTECH EURECOM ENTREPRENEURS;TV/associations/TPT-EURECOM.jpg;Associations;"Business Pôle – Bât B Entrée A 
1047 Route des Dolines
Allée Pierre Ziller 
06560 SOPHIA ANTIPOLIS";43.627082;7.0409;04 93 65 33 70;http://entrepreneurs.telecom-paristech.fr/;"Télécom ParisTech est l'école d'ingénieurs, membre de l'Institut Mines-Télécom, qui, au-delà de ses activités d'enseignement, de recherche et de formation continue, a fait de l'entrepreneuriat un de ses axes stratégiques avec la création de son incubateur à Paris en 1999.
Une antenne a été créée à Sophia Antipolis en Mai 2006, faisant de l'incubateur Télécom ParisTech Eurecom Entrepreneurs un des principaux maillons de la chaine de l'innovation en région PACA.
Depuis plus de 9 ans, l'incubateur Télécom ParisTech EURECOM Entrepreneurs a accompagné plus de soixante projets, dans le domaine du numérique. Les porteurs de projet bénéficient d'un appui logistique, d'un accompagnement intensif, d'un support scientifique, d'un accès à des financements et d'une mise en réseau.";L'incubateur TELECOM ParisTech Eurecom Entrepreneurs est spécialisé dans l'accompagnement de projets innovants dans le domaine du numérique sur Sophia Antipolis;Accompagnement, incubateur, numérique;
UIMM;TV/associations/uimm.gif;Associations;"455 Promenade des Anglais 
CS 63136 
06203 NICE Cedex";43.667479 ;7.21377;04 97 25 45 00;www.ui06.com;;Union des Industries et Métiers de la Metallurgie Cote d'Azur;Performance indutrielle;
UPE06;TV/associations/UPE.jpg;Associations;"Cap Var C2 (2ème étage)
Avenue Georges Guynemer 
06700 SAINT LAURENT DU VAR";43.661321 ;7.196741;04 92 27 27 60;www.upe06.com;"MISSION N°1
Défendre et représenter les entreprises
Pour l'entreprise, le meilleur moyen de faire triompher ses intérêts, c'est de les défendre collectivement partout où ils sont en jeu. Représentés par leurs mandataires issus de l'UPE 06,les chefs d'entreprise peuvent faire bloc vis-à-vis des pouvoirs publics pour alléger le fardeau social, fiscal, juridique et réglementaire.
Par leur présence au sein des organismes paritaires, l'entreprise peut jouer le rôle constructif qui est le sien et créer l'environnement le plus favorable possible à son développement.Sur son territoire, l'UPE 06 est le véritable parti de l'entreprise.
MISSION N°2
Accompagner le chef d'entreprise dans sa fonction
Le contexte dans lequel évoluent les entrepreneurs ne cesse de se complexifier.La mission de l'UPE 06 est de mettreà leur disposition les services et les conseils qui vont les aider dans la gestion quotidienne de leur activité.Elle s'appuie sur un véritable réseau d'experts pour répondre aux attentes multiples des entreprises dans une logique de proximité.La plateforme de conseil juridique et le relais local des organisations nationales – MEDEF, CGPME – leur permetde disposer en temps réel d'une information pertinente.
MISSION N°3
Promouvoir l'image et le rôle de l'entrepreneur
Entreprendre est une aventure qui fait appel à des qualités spécifiques : audace, sens des responsabilités,combativité, créativité, amour du travail bien fait… Il n'y a pas de réussite sans prise de risque, pas de pérennité sans innovation. Il est essentiel que les valeurs sur lesquelles se construit l'entreprise soient reconnues par la société. Au regard de sa capacité à créer de la richesse et de l'emploi, l'entrepreneur doit avoir l'image qu'il mérite
MISSION N°4
Développer les valeurs communes autour de l'esprit d'entreprise
Les entreprises ont un besoin vital de dialogue entre elles afin d'échanger des bonnes pratiques et développerla solidarité entre managers. L'UPE 06 prend de nombreuses initiatives pour rassembler les décideurs,favoriser les rencontres, les echanges d'expériences. Développer des valeurs communes autour de l'esprit entrepreneurial,leur permet d'élargir leur réseau et d'augmenter les opportunités d'affaires.
MISSION N°5
Fédérer les actions sociétales
L'UPE 06 a mis en place de nombreuses commissions pour mener des actions sur l'aménagement du territoire et le développement économique de notre département. L'objectif est de préparer et d'accompagner le développement de l'entreprise dans son environnement pour qu'elle puisse participer activement à la vie sociétale";"Dans un monde où les repères et les valeurs bougent sans cesse,il est essentiel que des hommes d'entreprise prennent eux mêmes le parti de l'entreprise.Mais un entrepreneur ne peut pas être partout. Tout ce qu'il
ne peut pas ou n'a pas le temps de faire lui-même, il peut en confier la mission à d'autres.Telle est la vocation de l'UPE 06.Des patrons qui se mettent au service d'autres patrons";Développement d'entreprise, accompagnement;
ADVANS GROUP;TV/grands groupes/Advans-groupe.jpg;Grands groupes;"2323 chemin Saint Bernard Space 
Antipolis 1 
06220 VALLAURIS";43.598067 ;7.056941;04 92 38 17 02;www.avisto.com;"Par l'intermédiaire de ses différentes entreprises (AViSTO, ELSYS Design, MECAGINE et TES Electronic Solutions), ADVANS GROUP propose une offre complète de services et de solutions dans les domaines des systèmes électroniques, des logiciels applicatifs et de la mécanique.
Les 1000 ingénieurs d'ADVANS GROUP interviennent pour de grandes sociétés internationales et des PME technologiques évoluant au sein de nombreuses industries.";ADVANS GROUP est un acteur d'envergure européenne spécialiste du service en projets complexes et innovants;Logiciels applicatifs, Technologies Objet et Mobile;
